postcode,lat,lon
B330AU,52.48097,-1.76806
B330DH,52.47880,-1.76713
B330DL,52.48026,-1.78095
B330DS,52.47897,-1.77694
B330PJ,52.46377,-1.77323
B330XD,52.47391,-1.78407
B330XG,52.47338,-1.78279
B338BL,52.48064,-1.81244
B338JG,52.48075,-1.79461
B338QB,52.47783,-1.81318
B338SJ,52.47957,-1.81314
B338TH,52.47559,-1.81636
B339HY,52.48787,-1.79447
B339QY,52.48190,-1.78244
B339RD,52.48314,-1.78616
B339UE,52.48249,-1.77201
B339UF,52.48329,-1.77005
B346BJ,52.49300,-1.80831
B346NB,52.49951,-1.79716
B346SS,52.49970,-1.77964
B347HN,52.49763,-1.76436
B347PY,52.49260,-1.76753
B347RL,52.49784,-1.77191
B356BS,52.52070,-1.79375
B356DU,52.51864,-1.79601
B356LB,52.52247,-1.78702
B356PR,52.52214,-1.78431
B357JA,52.51550,-1.79141
B357NL,52.51926,-1.78061
B357PR,52.52142,-1.78416
B360BX,52.50669,-1.76046
B360DD,52.50768,-1.75176
B360HD,52.50318,-1.76383
B360QE,52.50025,-1.74271
B360SZ,52.50327,-1.74794
B360UE,52.49860,-1.74604
B368AF,52.50262,-1.81989
B368EY,52.50258,-1.81778
B368HB,52.50157,-1.82051
B368LD,52.50159,-1.81455
B368LL,52.50478,-1.80216
B368LY,52.50411,-1.80054
B368QJ,52.50711,-1.81301
B369AX,52.50416,-1.78569
B369HF,52.51149,-1.76492
B369LF,52.51025,-1.75865
B375BU,52.48057,-1.75363
B375DP,52.47956,-1.74563
B375GA,52.48348,-1.75104
B375JS,52.47522,-1.75537
B376BN,52.49578,-1.74991
B376DF,52.49258,-1.75610
B376LW,52.49016,-1.75030
B376NU,52.48762,-1.74614
B376RN,52.48068,-1.72666
B377AA,52.46641,-1.75214
B377BA,52.46715,-1.74965
B377PY,52.47529,-1.73766
B377TR,52.47816,-1.72773
B388AP,52.40918,-1.94681
B388HU,52.39978,-1.95497
B388SY,52.41222,-1.93500
B388XQ,52.40410,-1.94507
B389DE,52.39811,-1.93154
B389JB,52.39970,-1.92446
B389TR,52.39430,-1.93875
B421NU,52.53469,-1.92902
B421QR,52.52926,-1.92185
B422BY,52.54317,-1.92070
B422PX,52.53957,-1.90868
B422PY,52.54061,-1.90783
B422SY,52.51783,-1.89550
B422TU,52.52180,-1.89260
B435BE,52.53629,-1.94286
B435QF,52.53873,-1.93452
B436AL,52.54528,-1.94628
B436HQ,52.54933,-1.92418
B436LN,52.54722,-1.93622
B437AP,52.55854,-1.93688
B437DH,52.56074,-1.90670
B437SD,52.55271,-1.94549
B437UJ,52.56312,-1.90006
B440BX,52.54425,-1.88080
B440DT,52.54215,-1.87662
B440HF,52.53399,-1.87836
B440JL,52.55030,-1.87556
B440NR,52.54694,-1.86793
B440QN,52.54321,-1.87906
B448HS,52.53590,-1.89366
B448NT,52.54430,-1.90289
B448NU,52.54603,-1.90303
B448QR,52.53644,-1.87766
B448RL,52.53990,-1.88833
B448UQ,52.54252,-1.90080
B449AG,52.54808,-1.89105
B449NA,52.55715,-1.88786
B449NY,52.55791,-1.89544
B449SR,52.54921,-1.88620
B450EU,52.40488,-2.01661
B450HY,52.40141,-2.02506
B450JS,52.40837,-2.00390
B458EU,52.37235,-2.01616
B458NG,52.36349,-1.98906
B458QY,52.39271,-1.99838
B458TD,52.39468,-1.99093
B459BN,52.39231,-2.01187
B459DX,52.39027,-2.02256
B459EL,52.39081,-2.03071
B459EY,52.39361,-2.03243
B459NY,52.39628,-2.00331
B459PB,52.39694,-2.00154
B461ES,52.50742,-1.71174
B461SG,52.51542,-1.74146
B462AU,52.51347,-1.66256
B463EX,52.48496,-1.70594
B463JE,52.48528,-1.70248
B463LL,52.49442,-1.70928
B475JN,52.39033,-1.87620
B475JW,52.38823,-1.87857
B476EQ,52.37576,-1.88226
B47QD,52.48309,-1.88741
B487TA,52.35501,-1.96253
B495ED,52.21818,-1.87472
B495HN,52.24079,-1.88608
B495NT,52.18138,-1.90049
B496AG,52.22096,-1.86982
B496HQ,52.23086,-1.83717
B496LU,52.21683,-1.82405
B496NU,52.19168,-1.81992
B496PX,52.21831,-1.86421
B496QQ,52.22038,-1.85595
B504QG,52.16801,-1.85933
B57LX,52.46544,-1.90085
B601BA,52.33698,-2.05358
